state,affected,death,recovered,active
Andaman and Nicobar Islands,10157,129,9986,42
Andhra Pradesh,2321379,14731,2305893,755
Arunachal Pradesh,64518,296,64218,4
Assam,724788,7988,716405,395
Bihar,832581,12259,819388,934
Chandigarh,93785,1165,92052,568
Chhattisgarh,1154179,14036,1139282,861
Dadra and Nagar Haveli and Daman and Diu,11474,4,11456,14
Delhi,1934009,26261,1903423,4325
Goa,248540,3838,243720,982
Gujarat,1231483,10946,1217623,2914
Haryana,1015501,10624,1002222,2655
Himachal Pradesh,286061,4141,281413,507
Jammu and Kashmir,455006,4756,449803,447
Jharkhand,435858,5320,430254,284
Karnataka,3968365,40117,3922541,5707
Kerala,6634722,69993,6535869,28860
Ladakh,28411,228,28105,78
Lakshadweep,11408,52,11353,3
Madhya Pradesh,1044243,10741,1033012,490
Maharashtra,7972474,147922,7798817,25735
Manipur,137266,2120,135128,18
Meghalaya,93947,1594,92288,65
Mizoram,229048,703,228084,261
Nagaland,35507,761,34744,2
Odisha,1289602,9126,1279849,627
Puducherry,166438,1962,164172,304
Punjab,762755,17773,743903,1079
Rajasthan,1288328,9564,1277825,939
Sikkim,39224,454,38744,26
Tamil Nadu,3473116,38026,3425057,10033
Telangana,800476,4111,791944,4421
Tripura,100901,923,99971,7
Uttar Pradesh,2090050,23538,2062971,3541
Uttarakhand,438663,7696,430180,787
West Bengal,2027901,21218,2000798,5885
